id_atendimento,id_pedido,id_cliente,id_agente,canal,motivo_principal,submotivo,area_responsavel,prioridade,complexidade,data_abertura,data_primeira_resposta,data_fechamento,quantidade_reaberturas,tempo_agente_minutos,custo_hora_agente,custo_atendimento,valor_compensacao,valor_estornado,nota_satisfacao,nps_classificacao,houve_reclamacao_publica,cliente_churnou_apos_atendimento,houve_recompra_30_dias
1,ped-36062,,38,app,Entrega,Erro na cobrança,Tecnologia,Crítica,Média,2025-07-08 23:53:13.435509,2025-07-09 01:53:13.435509,2025-07-12 23:53:13.435509,1,36,31.16,371.63,-20,0,0,Promotor,Sim,Sim,Não
646,ped-91070,1183.0,46,site,Entrega,erro cobrança,Financeiro,baixa,baixa,2025-02-22 03:19:31.794450,2025-02-22 06:19:31.794450,2025-02-26 06:19:31.794450,1,18,50.39,15.12,50,-100,3,detrator,Não,Sim,nao
3787,PED-45382,,50,Site,pagamento,Atraso,Financeiro,Crítica,Média,2024-03-24 21:35:17.971169,2024-03-25 04:35:17.971169,2024-03-29 07:35:17.971169,-1,-10,33.01,-5.5,50,0,6,promotor,nao,Não,Não
4781,PED-57447,,6,Site,entrega,Erro na cobrança,Tecnologia,Média,Alta,2024-07-12 14:33:32.836911,2024-07-12 15:33:32.836911,2024-07-14 10:33:32.836911,-1,-10,90.77,-15.13,0,200,2,detrator,nao,sim,nao
2405,PED-30730,,33,SITE,Cancelamento,atraso,Tecnologia,Alta,alta,2025-02-26 01:12:32.789526,2025-02-26 03:12:32.789526,,3,-10,97.69,-16.28,0,0,0,N/A,NAO,sim,Sim
6,PED-79822,,36,SITE,Produto com defeito,estorno,Comercial,Crítica,baixa,2024-09-13 14:10:13.912211,2024-09-13 18:10:13.912211,2024-09-15 15:10:13.912211,0,74,67.92,83.77,0,200,3,Promotor,sim,Sim,Sim
7,PED-92719,139.0,22,site,Cancelamento,erro cobrança,Financeiro,critica,baixa,2024-08-07 05:32:00.515581,2024-08-07 17:32:00.515581,2024-08-11 02:32:00.515581,1,-10,55.05,-9.17,0,0,2,Neutro,Sim,Não,Não
3299,PED-24322,,9,Telefone,Pagamento,Produto errado,financeiro,media,Baixa,2025-03-24 20:45:29.850464,2025-03-24 23:45:29.850464,,2,-10,35.23,218.37,100,500,6,Promotor,NAO,Sim,Sim
1349,ped-61173,,28,chat online,Cancelamento,Estorno,logistica,media,Média,2024-12-06 02:47:23.120516,2024-12-06 11:47:23.120516,2024-12-06 10:47:23.120516,-1,74,97.52,120.27,0,0,0,neutro,sim,nao,Sim
1927,PED-25713,1186.0,40,site,Troca,estorno,Financeiro,Alta,baixa,2024-10-07 19:56:17.787955,2024-10-07 20:56:17.787955,2024-10-11 20:56:17.787955,1,12,66.73,13.35,-20,0,6,Promotor,sim,Sim,Sim
11,PED-76307,715.0,16,Aplicativo,Produto com defeito,Erro na cobrança,financeiro,Alta,alta,2025-07-02 05:35:38.011174,2025-07-02 17:35:38.011174,2025-07-03 13:35:38.011174,1,55,73.74,67.59,50,0,0,Detrator,nao,Sim,Sim
1668,ped-74032,105.0,41,Telefone,Produto com defeito,Atraso,Logística,alta,baixa,2024-04-21 19:05:42.390165,2024-04-22 04:05:42.390165,2024-04-25 10:05:42.390165,3,43,95.11,62.14,0,-100,0,Neutro,nao,Não,sim
13,PED-50404,733.0,44,App,entrega,Arrependimento,Comercial,Crítica,alta,2026-01-20 12:39:17.854389,2026-01-20 17:39:17.854389,2026-01-24 12:39:17.854389,2,-10,64.87,472.8,0,-100,0,Detrator,nao,Não,nao
318,ped-36158,,15,App,Entrega,erro cobrança,financeiro,alta,Média,2025-07-03 13:23:29.941979,2025-07-03 16:23:29.941979,2025-07-08 05:23:29.941979,0,107,90.51,369.6,50,500,0,promotor,NAO,Sim,nao
2570,PED-89457,789.0,17,Site,Troca,Atraso,Comercial,media,Média,2024-09-25 18:52:08.232794,2024-09-25 21:52:08.232794,2024-09-30 18:52:08.232794,2,-10,95.14,485.35,0,-100,3,Promotor,nao,nao,sim
3445,ped-32810,832.0,20,app,pagamento,arrependimento,Comercial,alta,Alta,2025-05-23 11:30:54.783637,2025-05-23 13:30:54.783637,2025-05-26 20:30:54.783637,1,89,77.58,115.08,50,500,0,detrator,SIM,Não,Não
17,ped-42092,1252.0,30,Telefone,pagamento,arrependimento,financeiro,Crítica,baixa,2025-01-01 19:36:19.309797,2025-01-02 03:36:19.309797,2025-01-04 14:36:19.309797,2,106,72.71,128.45,-20,200,1,detrator,SIM,Não,Não
3807,ped-90301,,11,chat online,troca,Estorno,Financeiro,media,Média,2025-12-02 08:30:35.374970,2025-12-02 19:30:35.374970,2025-12-07 04:30:35.374970,0,-10,37.51,-6.25,-20,500,6,promotor,Sim,nao,Não
