id_compra,id_fornecedor,id_produto,data_compra,quantidade,preco_unitario,valor_total
1,36,251,2025-06-10,119,30.31,3606.84
2,14,693,2025-09-17,233,132.47,30865.0
3,55,33,2024-10-07,563,85.55,48164.33
4,30,518,2025-01-17,35,91.58,3205.17
5,92,666,2024-11-27,32,508.63,16276.18
6,58,604,2025-04-10,563,382.21,215185.18
7,1,778,2025-07-14,289,730.01,210973.46
8,44,285,2024-10-28,168,630.74,105964.38
9,98,345,2024-02-05,164,200.06,32809.82
10,13,368,2025-06-26,109,90.73,9889.49
11,104,45,2025-05-26,357,546.52,195108.93
12,119,388,2024-02-06,475,486.32,230999.84
13,107,644,2024-12-06,85,500.42,42535.72
14,91,72,2025-11-03,375,523.0,196124.29
15,99,297,2025-03-13,51,597.85,30490.19
16,111,104,2025-10-16,86,770.94,66301.13
17,82,374,2024-10-31,394,255.95,100845.27
18,27,687,2025-07-19,171,338.2,57832.44
19,88,664,2025-10-16,278,634.02,176258.59
20,22,547,2025-10-30,78,551.34,43004.9
21,49,277,2025-01-24,255,153.76,39207.53
22,42,787,2024-08-26,575,203.9,117240.62
23,5,324,2024-08-06,62,212.31,13163.27
24,28,581,2025-08-02,415,246.82,102432.32
25,64,406,2024-07-18,327,197.66,64635.76
26,18,253,2024-10-07,474,135.44,64199.25
27,96,599,2024-03-11,579,488.77,282996.52
28,52,371,2024-12-14,443,808.86,358324.1
29,18,522,2024-12-27,229,897.61,205553.74
30,7,113,2025-11-11,510,89.09,45436.51
31,102,697,2024-06-03,161,567.68,91396.78
32,50,391,2025-10-05,437,540.0,235978.63
33,71,12,2024-10-14,484,479.97,232305.48
34,69,769,2025-04-04,122,616.09,75162.45
35,44,115,2025-09-13,278,693.59,192818.04
36,59,4,2025-05-16,305,395.81,120722.23
37,98,183,2025-05-09,274,874.92,239729.23
38,112,641,2024-08-30,524,822.06,430761.55
39,65,624,2024-08-05,310,758.77,235218.41
40,98,166,2024-08-20,208,144.33,30021.19
41,119,544,2025-10-26,557,858.52,478196.63
42,63,20,2025-09-25,5,542.26,2711.29
43,113,315,2025-04-15,119,836.76,99573.96
44,113,581,2025-07-11,250,59.67,14917.31
45,63,71,2025-08-15,85,84.4,7174.24
46,17,676,2025-11-21,550,691.12,380118.37
47,22,272,2024-09-07,491,852.59,418621.21
48,55,217,2025-02-21,545,786.21,428484.6
49,89,206,2024-06-04,557,681.7,379704.98
50,86,666,2025-06-12,324,363.9,117903.97
51,67,463,2025-07-08,387,398.79,154329.9
52,9,347,2025-12-24,128,229.13,29328.87
53,30,603,2024-05-20,26,532.77,13852.06
54,91,647,2024-08-26,230,14.41,3315.27
55,116,33,2025-02-12,65,212.22,13794.04
56,31,286,2024-12-13,343,71.2,24423.23
57,17,741,2025-12-14,502,199.1,99947.81
58,32,485,2024-10-20,589,521.98,307446.69
59,13,675,2026-01-16,421,177.85,74873.02
60,53,479,2025-01-15,446,324.03,144518.91
61,83,101,2024-11-09,60,608.64,36518.47
62,44,112,2025-08-31,67,367.14,24598.26
63,69,460,2024-10-26,259,178.9,46334.67
64,36,474,2025-01-25,148,384.32,56879.13
65,10,454,2025-01-01,260,788.04,204890.78
66,84,554,2025-12-03,568,95.33,54150.04
67,119,772,2024-10-02,20,872.34,17446.89
68,63,493,2024-06-24,247,156.35,38618.33
69,116,61,2025-08-30,223,779.27,173776.8
70,50,272,2024-05-27,173,346.04,59865.62
71,90,749,2025-08-15,470,262.44,123347.89
72,63,159,2025-09-07,574,598.39,343475.41
73,8,594,2025-10-15,199,272.66,54260.01
74,41,59,2025-02-04,560,62.37,34929.53
75,65,544,2024-11-12,56,529.09,29628.84
76,66,83,2025-03-28,166,58.74,9750.27
77,9,692,2024-09-29,195,69.12,13478.6
78,114,584,2025-11-29,245,368.17,90201.11
79,6,635,2025-07-28,257,524.4,134769.72
80,75,579,2024-04-23,88,381.95,33611.48
81,34,210,2024-02-18,540,290.2,156709.03
82,51,135,2024-12-21,326,220.91,72015.97
83,119,770,2024-09-14,312,415.84,129743.43
84,80,577,2024-10-19,79,16.31,1288.44
85,28,519,2024-02-07,107,73.35,7848.3
86,45,71,2024-11-15,276,126.15,34817.75
87,21,449,2025-05-28,255,337.62,86092.63
88,79,670,2024-02-09,561,635.56,356547.82
89,105,568,2025-04-20,546,14.98,8178.1
90,14,138,2025-09-13,311,839.13,260968.31
91,14,761,2024-02-13,275,110.96,30514.65
92,37,620,2024-06-21,571,146.66,83742.59
93,27,704,2024-11-06,220,648.11,142584.22
94,33,53,2025-07-02,275,458.82,126176.84
95,107,284,2024-06-30,99,573.78,56804.39
96,99,134,2025-08-25,50,11.16,558.14
97,57,565,2024-02-07,273,152.13,41531.8
98,15,78,2025-02-23,442,508.33,224681.38
99,107,379,2024-10-05,157,494.67,77662.65
100,17,43,2024-12-25,570,140.1,79856.8
101,120,41,2025-08-18,320,333.27,106646.13
102,32,683,2025-02-06,371,195.39,72489.05
103,72,417,2026-01-30,110,323.48,35582.95
104,31,167,2025-03-31,163,833.78,135906.36
105,4,184,2025-08-21,186,794.22,147725.53
106,53,686,2025-12-22,345,705.89,243531.62
107,101,719,2024-12-17,259,245.99,63711.59
108,5,482,2025-05-14,115,349.23,40161.13
109,118,472,2026-01-19,232,186.02,43156.4
