id_estoque,id_produto,centro_distribuicao,estoque_atual,estoque_reservado,estoque_minimo,data_posicao
1,1,CD-SP,94,35,20,2026-01-13
2,2,cd_sp,208,13,48,2026-01-23
3,3,CD-SP,538,75,32,2026-01-23
4,4,CD-SP,12,11,18,2026-01-05
5,5,CD-SP,218,71,17,2026-01-26
6,6,CD-MG,538,28,33,2026-01-24
7,7,CD-RJ,583,0,15,2026-01-15
8,8,CD-RJ,412,35,14,2026-01-29
9,9,CD-RJ,200,13,10,2026-01-31
10,10,CD-SP,369,45,27,2026-01-16
11,11,CD-RJ,598,5,34,2026-01-26
12,12,CD-SP,529,48,10,2026-01-29
13,13,CD-RJ,545,80,44,2026-01-31
14,14,cd_sp,350,8,7,2026-01-06
15,15,CD-RJ,213,10,19,2026-02-03
16,16,CD-MG,83,35,34,2026-01-27
17,17,cd_sp,353,47,27,2026-01-12
18,18,CD-RJ,194,9,43,2026-01-14
19,19,cd_sp,155,20,34,2026-01-15
20,20,CD-RJ,368,71,19,2026-01-25
21,21,CD-SP,312,29,7,2026-01-22
22,22,CD-MG,303,34,9,2026-01-10
23,23,CD-RJ,196,27,46,2026-01-30
24,24,CD-MG,491,58,14,2026-01-29
25,25,cd_sp,251,31,40,2026-01-15
26,26,CD-RJ,531,74,32,2026-01-15
27,27,CD-MG,577,46,19,2026-01-09
28,28,CD-MG,121,11,8,2026-01-30
29,29,cd_sp,92,80,15,2026-01-08
30,30,CD-SP,412,49,29,2026-01-24
31,31,CD-MG,590,67,21,2026-01-05
32,32,CD-SP,546,14,48,2026-01-21
33,33,CD-RJ,529,43,12,2026-02-03
34,34,CD-MG,280,20,34,2026-01-11
35,35,CD-RJ,-17,64,16,2026-01-09
36,36,CD-SP,499,80,24,2026-01-06
37,37,cd_sp,499,19,28,2026-01-11
38,38,CD-SP,145,76,25,2026-01-05
39,39,CD-SP,480,14,28,2026-01-06
40,40,cd_sp,294,7,20,2026-01-15
41,41,CD-SP,560,10,36,2026-01-08
42,42,cd_sp,50,16,47,2026-01-27
43,43,cd_sp,466,33,38,2026-01-07
44,44,cd_sp,413,69,49,2026-01-08
45,45,CD-RJ,185,51,47,2026-02-03
46,46,CD-MG,362,66,33,2026-01-25
47,47,cd_sp,103,28,9,2026-01-10
48,48,CD-SP,326,75,40,2026-01-05
49,49,cd_sp,215,0,9,2026-01-16
50,50,cd_sp,40,8,7,2026-01-21
51,51,CD-SP,318,65,20,2026-01-25
52,52,CD-MG,265,27,39,2026-01-12
53,53,CD-MG,115,31,35,2026-01-05
54,54,cd_sp,396,12,11,2026-02-02
55,55,CD-RJ,421,54,31,2026-02-02
56,56,CD-SP,458,12,8,2026-01-17
57,57,CD-RJ,392,13,20,2026-01-17
58,58,cd_sp,176,68,33,2026-01-29
59,59,CD-MG,123,23,22,2026-01-20
60,60,cd_sp,453,9,33,2026-01-07
61,61,CD-SP,543,6,46,2026-01-17
62,62,CD-SP,533,11,20,2026-01-14
63,63,CD-MG,150,62,35,2026-01-23
64,64,CD-MG,198,7,15,2026-01-09
65,65,CD-SP,368,49,21,2026-01-08
66,66,CD-RJ,445,54,49,2026-02-02
67,67,CD-MG,549,19,17,2026-01-16
68,68,cd_sp,283,7,42,2026-01-18
69,69,CD-SP,535,40,8,2026-01-18
70,70,CD-MG,31,64,38,2026-01-14
71,71,CD-SP,141,65,10,2026-02-03
72,72,CD-SP,170,76,9,2026-01-14
73,73,CD-MG,220,15,41,2026-01-28
74,74,CD-SP,232,79,10,2026-01-07
75,75,CD-RJ,409,33,18,2026-01-24
76,76,cd_sp,301,33,30,2026-01-23
77,77,CD-RJ,114,58,25,2026-01-15
78,78,CD-SP,54,58,44,2026-01-14
79,79,CD-SP,556,9,39,2026-01-18
80,80,CD-RJ,198,16,27,2026-01-26
81,81,cd_sp,50,47,23,2026-01-11
82,82,CD-MG,141,69,50,2026-01-11
83,83,CD-SP,289,70,24,2026-01-08
84,84,cd_sp,86,33,12,2026-02-02
85,85,cd_sp,89,34,23,2026-01-07
86,86,cd_sp,599,43,18,2026-01-30
87,87,CD-MG,250,32,8,2026-01-17
88,88,CD-MG,74,35,7,2026-01-13
89,89,CD-RJ,-17,16,45,2026-01-25
90,90,cd_sp,248,56,40,2026-01-13
91,91,CD-SP,417,14,9,2026-01-09
92,92,CD-SP,132,47,42,2026-01-23
93,93,cd_sp,545,55,13,2026-01-27
94,94,CD-RJ,22,46,7,2026-02-03
95,95,cd_sp,346,31,47,2026-01-17
96,96,CD-RJ,85,71,31,2026-01-06
97,97,cd_sp,138,20,16,2026-01-26
98,98,CD-SP,402,22,26,2026-01-21
99,99,cd_sp,401,34,15,2026-01-30
100,100,CD-MG,90,4,35,2026-01-08
101,101,cd_sp,207,58,27,2026-01-23
102,102,cd_sp,292,28,6,2026-01-27
103,103,CD-MG,177,42,22,2026-01-22
104,104,CD-RJ,51,44,46,2026-01-16
105,105,CD-MG,501,68,26,2026-01-05
106,106,CD-SP,8,33,16,2026-01-30
107,107,CD-RJ,574,4,11,2026-01-23
108,108,CD-MG,590,44,25,2026-01-09
109,109,CD-SP,426,49,41,2026-01-26
110,110,CD-RJ,174,5,50,2026-01-27
111,111,CD-SP,426,66,39,2026-01-31
112,112,CD-RJ,181,55,9,2026-01-09
113,113,CD-RJ,318,15,24,2026-01-05
114,114,CD-RJ,499,52,25,2026-01-16
115,115,CD-RJ,392,70,13,2026-01-17
116,116,CD-MG,176,48,48,2026-01-08
117,117,CD-RJ,158,51,40,2026-01-20
118,118,CD-RJ,-20,36,18,2026-01-05
119,119,CD-RJ,420,59,33,2026-01-21
120,120,cd_sp,432,65,35,2026-01-05
121,121,CD-SP,153,36,37,2026-01-18
122,122,CD-SP,323,30,48,2026-01-22
123,123,cd_sp,297,25,14,2026-01-14
124,124,CD-SP,5,31,35,2026-01-15
125,125,CD-MG,54,53,45,2026-01-23
126,126,cd_sp,569,49,36,2026-01-05
127,127,cd_sp,389,18,46,2026-01-11
128,128,CD-SP,-15,54,19,2026-02-01
129,129,CD-MG,160,6,40,2026-01-13
130,130,CD-SP,235,58,13,2026-01-27
131,131,CD-RJ,455,56,44,2026-01-09
132,132,CD-MG,496,70,33,2026-01-05
133,133,CD-MG,142,57,21,2026-01-05
134,134,CD-RJ,233,66,36,2026-01-14
135,135,CD-RJ,224,56,9,2026-01-27
136,136,cd_sp,272,34,26,2026-01-13
137,137,CD-SP,307,17,14,2026-01-22
138,138,CD-MG,216,19,50,2026-01-25
139,139,CD-SP,199,53,31,2026-01-19
140,140,CD-MG,318,53,8,2026-01-20
141,141,CD-MG,191,49,42,2026-02-01
142,142,CD-MG,0,61,5,2026-01-05
143,143,CD-RJ,340,49,31,2026-01-07
144,144,cd_sp,531,62,19,2026-01-29
145,145,CD-MG,259,62,6,2026-01-12
146,146,CD-RJ,378,51,15,2026-01-06
147,147,cd_sp,458,79,39,2026-01-28
148,148,CD-MG,7,75,41,2026-01-24
149,149,CD-SP,7,54,13,2026-01-18
150,150,cd_sp,452,6,21,2026-01-20
151,151,CD-RJ,368,27,34,2026-02-02
152,152,CD-RJ,314,48,22,2026-01-31
153,153,CD-RJ,411,10,35,2026-01-10
154,154,CD-SP,-1,44,19,2026-01-09
155,155,CD-SP,50,3,20,2026-01-12
156,156,CD-SP,184,79,14,2026-01-29
157,157,cd_sp,224,60,47,2026-01-18
158,158,cd_sp,97,59,49,2026-01-15
159,159,CD-RJ,242,21,43,2026-01-12
160,160,cd_sp,97,39,11,2026-01-15
161,161,CD-SP,572,39,41,2026-01-27
162,162,CD-MG,364,25,9,2026-01-07
163,163,cd_sp,586,13,49,2026-01-19
164,164,CD-SP,288,72,7,2026-01-28
165,165,CD-MG,335,47,9,2026-01-05
166,166,CD-RJ,498,1,31,2026-01-19
