id_lancamento,data,tipo,categoria,descricao,valor,id_pedido
1,2025-07-17,Despesa,Marketing,Quisquam totam unde distinctio.,-7499.78,
2,2025-08-12,Receita,marketing,Repellat error sit neque.,6729.42,
3,2024-05-11,Despesa,RH,Assumenda non corporis temporibus.,-7364.35,
4,2024-07-07,Receita,Tecnologia,Odio possimus.,4040.37,
5,2025-06-24,Despesa,Receita,Ullam omnis minus error.,6026.5,
6,2025-05-26,receita,Tecnologia,Qui culpa.,-2436.19,
7,2025-10-06,Despesa,RH,Totam temporibus aut deleniti.,-1194.99,
8,2024-03-04,receita,Marketing,Id dignissimos libero.,-6145.08,PED-22676
9,2025-08-07,receita,Tecnologia,Atque facilis quo nisi.,-2709.58,PED-15695
10,2025-09-13,Despesa,Marketing,Commodi alias minima ullam non.,11462.32,
11,2024-12-25,Despesa,Logística,Iure repellat commodi incidunt fugit.,8588.09,PED-91070
12,2025-10-12,Despesa,marketing,Voluptatum commodi quas dolores.,6091.44,
13,2025-07-07,receita,Marketing,Ab autem.,9106.35,PED-23238
14,2024-12-22,receita,RH,Natus corporis vitae eos.,4713.69,
15,2025-10-26,receita,Logística,Ducimus deleniti laudantium mollitia minus.,-3809.86,
16,2025-10-29,Despesa,Receita,Dignissimos tempora itaque quam.,-4577.23,
17,2024-08-08,receita,RH,Minus molestiae cupiditate quam.,-2601.04,
18,2024-03-26,Despesa,Logística,Quibusdam sed autem.,8857.04,
19,2025-11-06,Receita,Logística,Nisi quaerat.,23.3,
20,2025-08-01,Despesa,Receita,Assumenda incidunt repellat voluptatum.,-1706.44,PED-95909
21,2025-07-10,receita,Receita,Doloribus doloribus libero.,1177.04,
22,2024-11-16,Receita,Receita,Aperiam ducimus quisquam possimus.,3227.36,PED-44438
23,2025-09-07,Despesa,RH,Est quod aliquam dolorem alias.,-760.07,PED-28131
24,2024-05-22,Receita,Marketing,Facilis quisquam occaecati ducimus tempore.,9222.06,
25,2024-08-07,Despesa,RH,Nostrum cum a.,3928.18,PED-60432
26,2024-05-15,Despesa,RH,Quasi laudantium soluta.,2582.29,
27,2025-01-12,Despesa,Receita,Nam corrupti quas ad nisi.,-5708.97,PED-80381
28,2025-03-07,Despesa,Logística,Eveniet quos fugiat.,-5768.96,
29,2024-02-26,receita,Marketing,Praesentium laborum amet.,11076.32,
30,2024-11-26,Despesa,Marketing,Laborum iusto sint eveniet.,9410.37,
31,2025-06-22,Receita,Logística,Esse odit tempore alias architecto.,7250.22,
32,2024-08-18,Despesa,Logística,Asperiores reprehenderit veritatis deleniti.,1772.11,PED-24662
33,2024-09-30,receita,marketing,Quos consectetur magni possimus.,-6841.5,
34,2024-08-04,Receita,Receita,Repellendus sit omnis necessitatibus reprehenderit.,1719.81,
35,2025-12-30,Receita,Receita,Ea dolorem.,1505.65,
36,2024-12-21,receita,Tecnologia,Neque quos cum fugit doloremque.,9448.66,
37,2025-12-10,Despesa,Receita,Fugit doloremque.,5797.35,PED-50857
38,2025-12-22,Despesa,Receita,Unde excepturi.,-531.59,PED-77839
39,2024-04-01,Receita,marketing,Sequi doloremque aut.,-3506.05,
40,2024-07-05,Despesa,Tecnologia,Voluptate reiciendis a consequuntur cupiditate.,-3397.71,
41,2025-10-02,Receita,Receita,Incidunt quis rem.,4622.06,
42,2026-01-09,Receita,Logística,Est dolore.,-6582.85,PED-41195
43,2024-04-12,Despesa,RH,Voluptatibus officia.,-3715.26,PED-27342
44,2024-04-29,Receita,RH,Error alias consequuntur sit dolor.,8149.94,
45,2025-09-12,Receita,Receita,Debitis accusantium optio.,621.02,PED-65519
46,2025-06-25,receita,Receita,Accusamus sapiente dignissimos deserunt.,-6916.58,
47,2026-01-13,Receita,RH,Reprehenderit illo id.,6564.27,
48,2025-02-25,Receita,marketing,Recusandae facere vero.,2725.72,PED-28373
49,2024-07-14,Receita,Logística,Non eveniet repudiandae.,1252.56,PED-19880
50,2024-11-12,Despesa,Marketing,Earum perferendis animi.,-6988.23,
51,2026-01-19,Receita,marketing,Tempora dolorum nulla impedit.,-4673.78,PED-73653
52,2025-12-31,Receita,RH,Fugiat amet atque.,10048.86,PED-31579
53,2025-11-09,Receita,RH,Ducimus ut beatae vel.,-2695.94,PED-69638
54,2024-07-07,receita,Receita,Voluptatibus expedita.,11146.35,PED-82845
55,2024-05-21,Receita,marketing,Ducimus soluta quidem.,-2065.84,
56,2024-02-13,Despesa,Logística,Repudiandae explicabo totam.,-6856.69,PED-86569
57,2026-01-28,Despesa,Tecnologia,Repellendus nemo facere numquam.,-4851.35,
58,2024-02-07,Receita,Marketing,Quo totam sunt libero.,3900.7,
59,2024-12-17,receita,Marketing,Qui vitae in.,10831.92,
60,2025-11-13,Despesa,Tecnologia,Odio id odit.,-7205.17,PED-20745
61,2025-08-02,Despesa,Tecnologia,Minus sint eligendi.,3304.54,PED-51467
62,2024-11-29,Receita,Receita,Voluptatum harum.,6323.84,PED-41285
63,2025-04-30,receita,marketing,Reiciendis inventore reprehenderit.,5433.8,PED-49321
64,2025-08-09,receita,Marketing,Magnam delectus aut velit.,-7813.69,
65,2025-12-20,Receita,Tecnologia,Quae adipisci repudiandae doloremque fugit.,-3736.91,
66,2025-10-22,receita,Marketing,Porro ipsum mollitia rem.,9585.4,PED-58434
67,2024-04-11,Receita,RH,Ea rerum assumenda.,8674.9,
68,2025-05-14,Despesa,Tecnologia,Ullam esse quisquam doloremque ipsa.,-2012.42,
69,2025-05-12,Receita,Logística,Odio soluta rerum.,-5691.43,
70,2024-11-02,receita,Logística,Eum molestiae dolores provident.,4096.6,
71,2025-05-23,Despesa,Receita,Et quidem voluptatum quaerat.,9058.26,PED-76244
72,2025-01-25,receita,Marketing,Corporis dolorem eum cupiditate quo.,-6154.03,PED-65518
73,2024-09-29,Receita,Marketing,Quos inventore.,-1328.87,PED-27146
74,2025-05-21,Receita,Receita,Corporis quae porro reprehenderit.,836.71,
75,2024-03-06,Receita,Marketing,Assumenda fugit pariatur.,10901.02,
76,2024-04-22,receita,Tecnologia,Maiores quia ducimus facere.,3050.5,
77,2025-01-23,Receita,Logística,Quidem quasi excepturi.,-706.97,PED-15229
78,2025-05-26,Receita,Receita,Officia ad ab.,-3009.41,PED-23473
79,2025-08-18,Despesa,RH,Totam quas nesciunt.,11476.74,
80,2025-04-07,Receita,marketing,Amet nam.,9628.32,
81,2024-12-16,Despesa,Logística,Ad suscipit autem quibusdam.,7647.73,
82,2025-10-05,receita,marketing,Rem aperiam libero doloribus.,7747.49,PED-24168
83,2024-12-04,Receita,RH,Atque quam suscipit eligendi.,-3551.33,PED-70332
84,2025-04-20,receita,marketing,Officiis sint nulla ad.,-3541.53,
85,2025-03-04,receita,Logística,Molestias repudiandae mollitia doloremque necessitatibus.,-2427.94,PED-19099
86,2025-02-03,receita,Receita,Natus accusantium tenetur.,2188.11,PED-99065
87,2025-05-27,Receita,Marketing,Adipisci nihil doloribus quod.,9540.77,
88,2025-10-13,Despesa,Logística,Tenetur consequuntur numquam.,-7234.86,PED-88193
89,2024-05-13,receita,Receita,Officia consectetur deleniti in ad.,7728.56,
90,2025-06-14,receita,Tecnologia,Eveniet excepturi quam.,-4198.42,PED-15817
91,2024-10-19,Receita,Tecnologia,Officia expedita blanditiis architecto voluptatum.,10511.5,
92,2025-03-15,receita,RH,Voluptate quaerat.,-6600.52,PED-97062
93,2024-04-03,Despesa,Logística,Aliquam ullam.,5267.75,PED-26334
94,2025-01-28,Despesa,Logística,Nihil provident nobis recusandae neque.,5337.86,PED-52753
95,2025-03-26,Despesa,Logística,Corporis quasi.,3088.25,PED-35144
96,2024-12-15,Despesa,RH,Quisquam perferendis corrupti molestias.,5546.36,PED-32810
97,2025-08-07,receita,Tecnologia,Id expedita.,8674.5,PED-49829
98,2024-03-08,Receita,RH,Ullam fugiat vitae officia quia.,7715.18,PED-89516
99,2025-09-19,receita,RH,At praesentium facere voluptatum.,843.2,PED-38010
100,2025-09-07,Despesa,marketing,Provident aliquid aperiam.,5177.01,PED-47196
101,2026-01-12,Receita,marketing,Delectus quaerat.,5455.91,
102,2024-03-29,Receita,Marketing,Laudantium quaerat cum cupiditate.,-7075.73,
103,2024-03-26,receita,RH,Sit cupiditate.,9722.74,
104,2025-02-25,Despesa,Receita,Blanditiis blanditiis veritatis mollitia.,-320.43,
105,2025-12-16,Receita,Receita,Itaque modi.,5752.45,PED-23970
106,2025-06-03,Receita,marketing,Maiores earum qui autem.,8082.2,PED-77889
107,2025-10-06,Receita,Tecnologia,Corporis mollitia dolorem dolorem eveniet.,-3016.03,PED-25906
108,2024-03-15,Receita,RH,Neque culpa repellat.,5351.55,PED-83259
109,2026-02-01,receita,Tecnologia,Nesciunt occaecati hic.,8300.13,PED-76162
110,2024-10-26,Despesa,RH,Dignissimos iusto nisi.,9944.16,PED-72216
111,2025-07-01,receita,marketing,Provident maxime.,8797.26,PED-46347
112,2025-03-22,Despesa,marketing,Similique culpa qui beatae vero.,-2508.05,PED-20155
113,2024-08-11,Receita,Logística,Architecto sequi deserunt vitae.,-1283.05,
114,2025-03-02,Receita,marketing,Facilis debitis maiores adipisci corrupti.,-3374.77,
115,2025-12-19,Receita,RH,Sunt ad.,151.99,PED-81121
116,2025-06-19,receita,Marketing,Voluptatem ut saepe.,-3863.31,PED-65069
117,2024-09-15,Despesa,Receita,Quaerat laborum quia repellat earum.,-7609.36,PED-85456
118,2025-06-19,receita,Marketing,Repellendus ea provident asperiores.,10854.83,PED-49139
119,2025-08-22,receita,Tecnologia,Voluptatum id pariatur porro.,6950.31,
120,2026-01-14,receita,marketing,Sequi molestias suscipit ex cum.,-2541.29,
121,2025-01-08,receita,Logística,Delectus officia possimus consectetur consectetur.,5377.47,
122,2025-03-14,receita,marketing,Distinctio dolor harum.,11614.44,
123,2025-01-27,receita,Tecnologia,In error asperiores.,3287.84,
124,2025-06-28,Despesa,RH,Esse accusamus perspiciatis deleniti.,-5286.01,
125,2025-06-12,Receita,Logística,Blanditiis quaerat quos iste.,-417.92,PED-37742
126,2025-11-01,receita,Logística,At in ipsum.,7224.59,PED-59692
127,2024-07-02,receita,Logística,Nam consectetur excepturi.,8698.22,
128,2024-10-17,Despesa,Tecnologia,Sequi perferendis autem explicabo inventore.,-6958.29,
129,2025-01-30,Despesa,Marketing,Harum numquam.,7624.66,
130,2025-09-30,Receita,marketing,Culpa vero laborum.,-4012.79,
131,2024-05-25,Receita,marketing,Laudantium quaerat.,1471.22,
132,2024-09-02,receita,Receita,Assumenda harum dolor.,-2875.13,
133,2025-06-26,Despesa,Tecnologia,Perspiciatis magnam nesciunt libero.,11274.69,
134,2024-04-13,receita,Marketing,Assumenda est hic.,3573.69,PED-50888
135,2025-11-19,receita,Receita,Consectetur at cumque.,-4033.4,
136,2025-05-11,Receita,Receita,Possimus cumque ratione quaerat nam.,7449.62,
137,2025-05-09,Despesa,Marketing,Sequi fugit ipsam.,-1055.92,PED-66148
138,2025-08-29,Receita,Tecnologia,Iusto omnis expedita earum cum.,4950.87,PED-11658
