id_fornecedor,nome,cidade,estado
1,Porto,da Cruz Paulista,RJ
2,da Cunha e Filhos,Cunha,AP
3,Nascimento,Fernandes Verde,Goiás
4,Vasconcelos,Sá,RN
5,Nascimento,Mendonça de Farias,SE
6,Teixeira - ME,Silva do Galho,AC
7,Câmara - EI,Fonseca,SC
8,Peixoto,Moura Paulista,MS
9,Costela e Filhos,Caldeira,Ceará
10,Cassiano S/A,Ramos,AP
11,da Paz e Filhos,Andrade,MS
12,Sampaio e Filhos,Ramos,CE
13,Aparecida,Lima da Prata,ES
14,Cavalcante - EI,Lima,AM
15,da Paz,Barbosa de Goiás,RR
16,Vasconcelos e Filhos,Pacheco Verde,MS
17,Lima,Rezende,Rio Grande do Sul
18,Monteiro S.A.,da Conceição,RJ
19,Fonseca,Andrade de Teixeira,Maranhão
20,da Rocha,Rios,Bahia
21,Montenegro S.A.,Moraes das Pedras,ES
22,Lima Cirino Ltda.,Castro,SE
23,da Cunha Cassiano Ltda.,Dias da Mata,Goiás
24,Nascimento,Nunes de Barros,Rio Grande do Norte
25,Dias,Monteiro,Mato Grosso do Sul
26,Macedo,Abreu,RJ
27,da Costa Ltda.,Ramos de Goiás,BA
28,das Neves,Machado do Amparo,Mato Grosso
29,Novais e Filhos,Souza,AM
30,Ferreira S.A.,Borges,PB
31,Albuquerque Cassiano S.A.,Rodrigues,Goiás
32,Pinto S/A,Costela,MS
33,Azevedo da Mata - EI,Ramos Verde,Santa Catarina
34,Ramos,Gomes,Mato Grosso
35,Vargas Cavalcanti S/A,da Rosa do Norte,Distrito Federal
36,Sá e Filhos,Almeida das Pedras,GO
37,Fonseca,Rocha Verde,Bahia
38,da Rosa S.A.,Peixoto do Campo,MS
39,Moreira S/A,Pastor do Sul,Ceará
40,Mendonça S.A.,Barros do Campo,PA
41,Carvalho S/A,Sales Alegre,Mato Grosso do Sul
42,Teixeira Lima Ltda.,Cirino,Amazonas
43,Garcia,Castro de Azevedo,PI
44,Peixoto,Dias,AP
45,da Rocha da Cunha - ME,Santos do Campo,RJ
46,Melo,Silveira das Flores,SP
47,Mendes Ltda.,Leão,Ceará
48,Pinto,Pastor,BA
49,Camargo Pacheco e Filhos,Cardoso,RN
50,Garcia,Fonseca,SP
51,Cassiano Rezende e Filhos,da Rosa de Casa Grande,Maranhão
52,Souza da Luz - ME,Camargo,Maranhão
53,Caldeira Lopes Ltda.,Fogaça,Pernambuco
54,Moreira,Nunes da Serra,Distrito Federal
55,Pinto - ME,Vieira da Serra,RN
56,Pires Ribeiro - EI,Abreu de Minas,Amazonas
57,Araújo S/A,da Cruz,Roraima
58,Fogaça,Araújo de Nunes,PB
59,Farias Costela e Filhos,Mendonça,Rio Grande do Norte
60,Barbosa da Luz - ME,Duarte da Serra,TO
61,Costa Fernandes e Filhos,da Costa,SC
62,Duarte,Pereira do Sul,RJ
63,Guerra Pinto - ME,Marques,SC
64,das Neves,Aragão de Ribeiro,Pernambuco
65,da Cunha Costela e Filhos,Camargo de Aparecida,Maranhão
66,Castro Casa Grande S.A.,Ramos,Distrito Federal
67,Viana,Brito de Pinto,MA
68,Correia S.A.,Cassiano do Amparo,Distrito Federal
69,Freitas,da Costa,PE
70,Lima Porto S.A.,Cirino,RN
71,Araújo Ltda.,Rocha dos Dourados,SC
72,Peixoto e Filhos,Andrade,Goiás
73,Guerra,Siqueira de da Costa,Minas Gerais
74,Moraes S.A.,Castro,Paraná
75,da Conceição,Pereira de Nunes,MG
76,Dias Santos Ltda.,Montenegro,MA
77,Viana,Caldeira,Tocantins
78,da Mata - EI,Pastor Paulista,RS
79,Garcia - ME,Araújo,Mato Grosso
80,Pacheco Aparecida - EI,Lopes,Ceará
81,Pacheco,Novaes de Lima,Roraima
82,Fonseca,Lopes de da Rosa,PB
83,Fogaça Barros Ltda.,Camargo,Rio de Janeiro
84,Abreu,Novais,RR
85,da Mota,Dias,SC
86,Cirino S/A,Nogueira do Campo,Amapá
87,Leão,Freitas,Mato Grosso
88,Brito,Albuquerque do Amparo,Santa Catarina
89,Campos,Borges,Santa Catarina
90,Carvalho S.A.,da Mota de Pimenta,SC
91,Montenegro - EI,da Rocha de da Paz,MS
92,Almeida,Barbosa de Goiás,Paraíba
93,Alves,da Costa,MT
94,Novaes,Pinto,RN
95,da Cunha,Teixeira Grande,RS
96,Marques,Castro de Castro,SP
97,Pastor da Mota S.A.,da Paz da Mata,CE
98,Fonseca,Sousa de Ribeiro,Rio de Janeiro
99,da Cruz Souza - EI,Costela,MG
100,Melo,Pires,Goiás
101,Lopes Azevedo - EI,Aragão,Espírito Santo
102,Pinto,Cunha,Tocantins
103,Sales Dias - EI,Nunes,Distrito Federal
104,da Rocha,Sampaio de da Conceição,PI
105,Guerra S/A,Alves de da Mata,TO
106,Pacheco,Camargo,Rondônia
107,Barbosa - EI,Novais de Cavalcante,São Paulo
108,Nunes,Teixeira,BA
109,Montenegro,Pereira do Campo,Piauí
110,Nunes,Vasconcelos,São Paulo
111,Novais,da Rosa de Fogaça,PR
112,Barbosa,Gomes,Paraná
113,Brito,Costela,RJ
114,Viana,Sousa,Amazonas
115,Fogaça,Montenegro da Praia,GO
116,Jesus Lopes - EI,Sampaio,GO
117,da Mata S/A,Lopes do Galho,Acre
118,Farias,Melo de Aragão,DF
119,Pinto da Paz S/A,Brito dos Dourados,PE
120,Cirino,Machado de Goiás,Rondônia
