id_entrega,id_pedido,data_envio,data_prevista,data_entregue,transportadora,custo_frete_real,tentativas
1,PED-13278,2024-07-31,2024-08-12,2024-08-09,Jadlog,40.33,2
2,PED-81482,2024-11-26,2024-11-29,2024-12-05,Correios,85.95,1
3,PED-38657,2024-03-23,2024-03-25,2024-03-22,correios,74.71,1
4,PED-95181,2025-08-10,2025-08-20,2025-08-19,Total Express,37.1,3
5,PED-65392,2024-06-04,2024-06-06,2024-06-04,Jadlog,44.68,2
6,PED-22156,2024-07-24,2024-07-31,2024-07-28,Total Express,20.77,3
7,PED-15695,2025-02-21,2025-03-04,2025-03-04,Total Express,78.78,4
8,PED-48427,2024-04-02,2024-04-05,2024-04-09,Jadlog,84.21,1
9,PED-39871,2024-08-28,2024-08-30,2024-09-05,Jadlog,138.05,2
10,PED-46434,2025-06-30,2025-07-03,2025-07-05,Total Express,91.91,3
11,PED-56566,2025-10-21,2025-10-25,2025-10-26,correios,96.46,1
12,PED-32431,2025-03-08,2025-03-19,2025-03-25,correios,29.57,4
13,PED-83000,2025-07-31,2025-08-06,2025-08-12,correios,98.37,1
14,PED-51347,2025-07-30,2025-08-04,2025-07-31,Total Express,43.34,2
15,PED-37869,2025-01-02,2025-01-13,2025-01-14,Total Express,60.22,4
16,PED-28301,2024-04-29,2024-05-03,2024-05-03,correios,106.34,3
17,PED-86484,2024-05-13,2024-05-24,2024-05-26,Total Express,55.78,2
18,PED-21915,2024-04-26,2024-05-06,2024-05-09,Correios,121.67,2
19,PED-99192,2025-01-23,2025-02-04,2025-02-02,Total Express,86.73,4
20,PED-71348,2024-09-28,2024-10-06,2024-10-11,Jadlog,136.18,1
21,PED-99353,2025-06-23,2025-07-05,2025-07-02,Jadlog,109.46,3
22,PED-66985,2025-06-26,2025-06-29,2025-06-29,correios,67.89,3
23,PED-76542,2025-11-26,2025-12-06,2025-12-04,Correios,122.91,3
24,PED-89818,2025-03-01,2025-03-13,2025-03-17,correios,28.17,2
25,PED-10074,2024-09-05,2024-09-15,2024-09-19,Jadlog,72.5,1
26,PED-41385,2024-09-24,2024-10-01,2024-10-01,Correios,39.8,1
27,PED-19071,2025-06-22,2025-06-25,2025-06-28,correios,24.95,4
