id_campanha,nome_campanha,canal,tipo,data_inicio,data_fim,orcamento
1,grow one-to-one bandwidth,Google,Aquisição,2025-06-10,2025-09-14,199393
2,reinvent cross-platform vortals,google,Aquisição,2025-05-12,2025-07-01,41579
3,syndicate revolutionary convergence,Google,Remarketing,2025-04-29,2025-08-16,199161
4,utilize 24/7 channels,Google,Remarketing,2025-05-07,2025-07-30,115604
5,integrate web-enabled ROI,Google,Aquisição,2025-06-17,2025-07-06,62314
6,orchestrate revolutionary vortals,TikTok,Remarketing,2025-06-06,2025-07-20,11956
7,expedite killer portals,google,Remarketing,2025-10-03,2025-12-28,175363
8,extend killer initiatives,TikTok,aquisicao,2025-05-03,2025-08-15,62787
9,unleash robust solutions,TikTok,aquisicao,2025-09-11,2025-11-22,217187
10,redefine end-to-end interfaces,google,Remarketing,2025-06-12,2025-06-27,115785
11,grow granular applications,Meta,Aquisição,2025-09-06,2025-11-03,61443
12,harness leading-edge deliverables,Meta,Aquisição,2025-11-23,2026-03-15,29312
13,transition front-end relationships,Google,aquisicao,2025-04-11,2025-06-13,227165
14,whiteboard one-to-one content,TikTok,aquisicao,2026-01-27,2026-03-27,216583
15,e-enable proactive models,Email,aquisicao,2025-09-10,2025-09-30,145568
16,integrate clicks-and-mortar content,Facebook,Aquisição,2025-04-07,2025-05-07,149714
17,deploy integrated e-commerce,Email,Remarketing,2025-10-16,2025-12-07,237115
18,incubate dot-com portals,TikTok,Aquisição,2025-04-21,2025-06-21,189699
19,re-contextualize distributed bandwidth,Google,Remarketing,2026-01-19,2026-02-11,64742
20,orchestrate plug-and-play systems,Meta,Aquisição,2025-12-08,2026-03-31,229216
21,envisioneer plug-and-play e-tailers,Google,aquisicao,2025-12-19,2026-02-01,77869
22,deploy value-added web-readiness,Email,aquisicao,2025-10-06,2025-12-18,47638
23,brand real-time niches,Meta,Aquisição,2026-01-19,2026-03-22,180682
24,matrix scalable web services,Email,Remarketing,2025-05-14,2025-07-02,174878
25,brand distributed technologies,TikTok,Remarketing,2025-10-23,2025-11-16,49862
26,maximize world-class communities,Email,Aquisição,2025-09-08,2025-11-30,47834
27,harness best-of-breed deliverables,Facebook,aquisicao,2025-06-05,2025-08-18,247585
28,streamline integrated platforms,Email,Remarketing,2025-09-10,2025-12-15,62570
29,engage leading-edge experiences,Meta,Aquisição,2025-07-18,2025-10-28,65043
30,empower impactful infrastructures,Google,aquisicao,2025-08-17,2025-12-15,110162
31,enhance killer supply-chains,Google,Aquisição,2025-07-08,2025-08-26,244373
32,grow wireless experiences,Email,aquisicao,2025-11-24,2026-02-19,60738
33,reinvent customized solutions,Facebook,aquisicao,2025-06-06,2025-09-12,236914
34,e-enable transparent experiences,Facebook,Aquisição,2025-08-11,2025-11-16,74436
35,transition bleeding-edge synergies,google,Remarketing,2025-07-05,2025-08-06,152159
36,enhance dynamic functionalities,Meta,Remarketing,2025-10-09,2025-12-31,158245
37,expedite innovative web-readiness,TikTok,aquisicao,2026-01-29,2026-04-08,99895
38,enhance strategic e-tailers,google,Remarketing,2025-08-28,2025-10-10,134372
39,monetize synergistic e-commerce,Google,Aquisição,2025-10-28,2025-11-23,45066
40,repurpose user-centric bandwidth,google,Remarketing,2025-10-24,2026-01-27,115666
41,incentivize bleeding-edge action-items,Google,aquisicao,2026-01-05,2026-04-06,105039
42,iterate dot-com architectures,Facebook,Remarketing,2025-10-21,2026-01-20,70906
43,deliver granular eyeballs,Google,Remarketing,2025-04-07,2025-07-01,193932
44,enhance cutting-edge web services,Email,Remarketing,2026-01-02,2026-01-31,201838
45,monetize integrated relationships,Email,aquisicao,2025-06-24,2025-08-12,34242
46,cultivate mission-critical deliverables,Facebook,Aquisição,2025-05-20,2025-07-11,123940
47,mesh sticky networks,Email,Remarketing,2026-01-15,2026-01-30,74045
48,embrace 24/365 methodologies,google,Remarketing,2025-07-30,2025-10-17,244239
49,aggregate customized content,Email,aquisicao,2025-08-09,2025-09-06,225638
50,transition interactive experiences,TikTok,Remarketing,2025-05-07,2025-08-11,57143
51,benchmark user-centric mindshare,Meta,Aquisição,2025-10-19,2025-11-22,146394
52,iterate web-enabled systems,TikTok,Aquisição,2025-08-27,2025-12-19,162009
53,productize bleeding-edge functionalities,Facebook,Aquisição,2025-09-12,2025-11-07,34325
54,optimize B2C models,Meta,Aquisição,2025-04-04,2025-06-04,20184
55,re-intermediate viral schemas,TikTok,Aquisição,2026-01-10,2026-02-24,27453
56,cultivate viral schemas,Facebook,Aquisição,2025-10-03,2026-01-19,204387
57,transform interactive technologies,google,Aquisição,2025-10-25,2026-01-16,177949
58,redefine B2B e-markets,TikTok,Aquisição,2025-09-02,2025-11-16,74483
59,strategize leading-edge niches,TikTok,aquisicao,2025-12-18,2026-03-10,60521
60,expedite granular web-readiness,Email,Remarketing,2026-01-20,2026-04-14,57730
