id_registro,data,id_campanha,impressoes,cliques,conversoes,custo
1,2025-07-27,8,3778,10526,4506,2241.78
2,2025-07-26,48,13934,2336,2233,828.1
3,2025-07-26,3,4405,6962,767,2006.81
4,2026-01-03,39,3978,8329,3257,6458.38
5,2025-03-11,35,55487,11540,3611,4070.42
6,2025-02-24,52,1351,4607,1307,6298.35
7,2025-04-25,18,20879,5624,1763,8617.06
8,2025-03-08,7,12656,5564,3112,915.61
9,2025-05-31,23,79631,13935,4333,7273.8
10,2026-01-12,30,70784,12005,2045,8759.39
11,2026-02-03,6,72857,6251,2401,7473.17
12,2026-01-15,57,47900,10183,9459,1770.98
13,2025-07-20,3,30371,1189,592,8867.73
14,2025-05-28,15,13738,14063,6227,2537.86
15,2025-04-25,54,48319,10465,2664,3363.12
16,2026-01-17,43,35493,3482,2874,8433.06
17,2025-09-05,5,22931,10667,8751,6575.68
18,2026-01-07,30,50235,2727,1105,8906.23
19,2025-04-24,45,73500,10535,3598,6177.3
20,2025-06-07,50,7831,13859,3752,7405.13
21,2025-10-02,21,53081,13239,4386,642.39
22,2025-06-17,57,41745,9342,3483,5916.18
23,2025-09-03,57,60642,6532,1170,2420.68
24,2025-12-11,48,74079,4090,2152,6735.77
25,2025-10-05,58,76984,7069,3271,3289.87
26,2025-08-14,33,65186,2316,372,6814.25
27,2025-07-05,8,20533,14158,10280,1481.84
28,2025-04-04,28,78672,11199,1040,3493.67
29,2025-11-07,30,69852,9813,4119,8741.15
30,2025-04-27,1,15514,14153,11169,7968.86
31,2025-02-11,18,45087,12352,1827,2676.83
32,2025-03-23,30,925,2641,1078,8748.4
33,2025-09-13,12,67042,12533,1743,7841.14
34,2025-12-23,54,67040,4939,1629,1417.91
35,2025-09-21,11,71197,12542,8689,8270.52
36,2025-10-09,21,64542,9863,319,1051.22
37,2025-05-13,57,40806,5997,1961,568.43
38,2025-05-04,37,10822,14435,1403,6600.57
39,2026-01-29,5,70322,13419,12547,1175.56
40,2025-06-11,31,72563,10859,2705,2422.26
41,2025-07-23,39,55961,14343,3470,8363.78
42,2025-12-20,47,26865,12424,11680,2839.86
