ano_mes,categoria_produto,canal,meta_faturamento
2023-01,Eletrônicos,Site,326632
2023-01,Eletrônicos,App,237052
2023-01,Roupas,Site,614748
2023-01,Roupas,App,245264
2023-01,Casa,Site,460510
2023-01,Casa,App,258753
2023-01,Beleza,Site,369531
2023-01,Beleza,App,323842
2023-02,Eletrônicos,Site,410228
2023-02,Eletrônicos,App,402274
2023-02,Roupas,Site,683687
2023-02,Roupas,App,206037
2023-02,Casa,Site,521698
2023-02,Casa,App,366161
2023-02,Beleza,Site,477770
2023-02,Beleza,App,375158
2023-03,Eletrônicos,Site,790202
2023-03,Eletrônicos,App,616127
2023-03,Roupas,Site,487739
2023-03,Roupas,App,384900
2023-03,Casa,Site,364843
2023-03,Casa,App,461011
2023-03,Beleza,Site,779627
2023-03,Beleza,App,652831
2023-04,Eletrônicos,Site,266409
2023-04,Eletrônicos,App,356194
2023-04,Roupas,Site,386422
2023-04,Roupas,App,300205
2023-04,Casa,Site,497759
2023-04,Casa,App,748402
2023-04,Beleza,Site,225315
2023-04,Beleza,App,662007
2023-05,Eletrônicos,Site,300189
2023-05,Eletrônicos,App,783901
2023-05,Roupas,Site,619339
2023-05,Roupas,App,552224
2023-05,Casa,Site,555784
2023-05,Casa,App,523028
2023-05,Beleza,Site,377343
2023-05,Beleza,App,540043
2023-06,Eletrônicos,Site,212043
2023-06,Eletrônicos,App,271747
2023-06,Roupas,Site,373179
2023-06,Roupas,App,639778
2023-06,Casa,Site,307342
2023-06,Casa,App,367694
2023-06,Beleza,Site,485155
2023-06,Beleza,App,323945
2023-07,Eletrônicos,Site,514683
2023-07,Eletrônicos,App,280299
2023-07,Roupas,Site,299798
2023-07,Roupas,App,758068
2023-07,Casa,Site,706365
2023-07,Casa,App,281006
2023-07,Beleza,Site,207067
2023-07,Beleza,App,540322
2023-08,Eletrônicos,Site,623920
2023-08,Eletrônicos,App,418890
2023-08,Roupas,Site,396434
2023-08,Roupas,App,334170
2023-08,Casa,Site,389581
2023-08,Casa,App,661979
2023-08,Beleza,Site,709094
2023-08,Beleza,App,739216
2023-09,Eletrônicos,Site,350751
2023-09,Eletrônicos,App,524715
2023-09,Roupas,Site,386404
2023-09,Roupas,App,763341
2023-09,Casa,Site,610476
2023-09,Casa,App,671149
2023-09,Beleza,Site,618393
2023-09,Beleza,App,486786
2023-10,Eletrônicos,Site,672915
2023-10,Eletrônicos,App,704958
2023-10,Roupas,Site,351527
2023-10,Roupas,App,705959
2023-10,Casa,Site,733700
2023-10,Casa,App,724569
2023-10,Beleza,Site,544205
2023-10,Beleza,App,314549
2023-11,Eletrônicos,Site,352574
2023-11,Eletrônicos,App,629332
