ano_mes,categoria_produto,canal,meta_faturamento
2023-01,Eletrônicos,Site,583079
2023-01,Eletrônicos,App,479927
2023-01,Roupas,Site,441618
2023-01,Roupas,App,690460
2023-01,Casa,Site,508190
2023-01,Casa,App,573510
2023-01,Beleza,Site,343400
2023-01,Beleza,App,776625
2023-02,Eletrônicos,Site,464762
2023-02,Eletrônicos,App,632115
2023-02,Roupas,Site,784199
2023-02,Roupas,App,264403
2023-02,Casa,Site,491339
2023-02,Casa,App,652469
2023-02,Beleza,Site,725872
2023-02,Beleza,App,454964
2023-03,Eletrônicos,Site,648142
2023-03,Eletrônicos,App,738868
2023-03,Roupas,Site,549666
2023-03,Roupas,App,793818
2023-03,Casa,Site,412042
2023-03,Casa,App,509201
2023-03,Beleza,Site,341450
2023-03,Beleza,App,644568
2023-04,Eletrônicos,Site,511692
2023-04,Eletrônicos,App,489881
2023-04,Roupas,Site,585910
2023-04,Roupas,App,725279
2023-04,Casa,Site,761299
2023-04,Casa,App,491969
2023-04,Beleza,Site,275353
2023-04,Beleza,App,526531
2023-05,Eletrônicos,Site,419419
2023-05,Eletrônicos,App,491782
2023-05,Roupas,Site,447288
2023-05,Roupas,App,326766
2023-05,Casa,Site,570805
2023-05,Casa,App,258824
2023-05,Beleza,Site,405592
2023-05,Beleza,App,327751
2023-06,Eletrônicos,Site,664869
2023-06,Eletrônicos,App,265138
2023-06,Roupas,Site,268590
2023-06,Roupas,App,285056
2023-06,Casa,Site,794675
2023-06,Casa,App,728687
2023-06,Beleza,Site,577601
2023-06,Beleza,App,465080
2023-07,Eletrônicos,Site,749098
2023-07,Eletrônicos,App,394502
2023-07,Roupas,Site,505909
2023-07,Roupas,App,685574
2023-07,Casa,Site,465734
2023-07,Casa,App,454286
2023-07,Beleza,Site,346126
2023-07,Beleza,App,314127
2023-08,Eletrônicos,Site,455606
2023-08,Eletrônicos,App,453940
2023-08,Roupas,Site,645078
2023-08,Roupas,App,637742
2023-08,Casa,Site,351787
2023-08,Casa,App,210026
2023-08,Beleza,Site,763806
2023-08,Beleza,App,741265
2023-09,Eletrônicos,Site,546245
2023-09,Eletrônicos,App,735277
2023-09,Roupas,Site,513187
2023-09,Roupas,App,482635
2023-09,Casa,Site,393913
2023-09,Casa,App,622081
2023-09,Beleza,Site,688871
2023-09,Beleza,App,693221
2023-10,Eletrônicos,Site,356538
2023-10,Eletrônicos,App,727542
2023-10,Roupas,Site,680117
2023-10,Roupas,App,278176
2023-10,Casa,Site,689602
2023-10,Casa,App,772647
2023-10,Beleza,Site,773081
2023-10,Beleza,App,510034
2023-11,Eletrônicos,Site,584054
2023-11,Eletrônicos,App,293196
2023-11,Roupas,Site,214904
2023-11,Roupas,App,268544
2023-11,Casa,Site,429452
2023-11,Casa,App,340038
2023-11,Beleza,Site,233695
2023-11,Beleza,App,514823
2023-12,Eletrônicos,Site,556230
2023-12,Eletrônicos,App,451384
2023-12,Roupas,Site,307589
2023-12,Roupas,App,307189
2023-12,Casa,Site,381797
2023-12,Casa,App,731155
2023-12,Beleza,Site,293172
2023-12,Beleza,App,538643
2024-01,Eletrônicos,Site,707843
2024-01,Eletrônicos,App,490761
2024-01,Roupas,Site,781990
2024-01,Roupas,App,366355
2024-01,Casa,Site,273422
2024-01,Casa,App,335088
2024-01,Beleza,Site,761223
2024-01,Beleza,App,234983
2024-02,Eletrônicos,Site,627303
2024-02,Eletrônicos,App,276107
2024-02,Roupas,Site,632442
2024-02,Roupas,App,215276
2024-02,Casa,Site,577914
2024-02,Casa,App,222570
2024-02,Beleza,Site,623910
2024-02,Beleza,App,244348
2024-03,Eletrônicos,Site,579359
2024-03,Eletrônicos,App,584216
2024-03,Roupas,Site,549139
2024-03,Roupas,App,726022
2024-03,Casa,Site,466654
2024-03,Casa,App,293576
2024-03,Beleza,Site,592214
2024-03,Beleza,App,329782
2024-04,Eletrônicos,Site,234742
2024-04,Eletrônicos,App,654920
2024-04,Roupas,Site,653029
2024-04,Roupas,App,652431
2024-04,Casa,Site,303068
2024-04,Casa,App,601922
2024-04,Beleza,Site,713452
2024-04,Beleza,App,232024
2024-05,Eletrônicos,Site,485668
2024-05,Eletrônicos,App,333000
2024-05,Roupas,Site,230858
2024-05,Roupas,App,737269
2024-05,Casa,Site,285854
2024-05,Casa,App,468244
2024-05,Beleza,Site,767674
2024-05,Beleza,App,637039
2024-06,Eletrônicos,Site,409755
2024-06,Eletrônicos,App,515607
2024-06,Roupas,Site,278172
2024-06,Roupas,App,599798
2024-06,Casa,Site,406164
2024-06,Casa,App,593015
2024-06,Beleza,Site,658806
2024-06,Beleza,App,518957
2024-07,Eletrônicos,Site,300728
2024-07,Eletrônicos,App,786757
2024-07,Roupas,Site,662508
2024-07,Roupas,App,281082
2024-07,Casa,Site,552231
2024-07,Casa,App,308571
2024-07,Beleza,Site,529456
2024-07,Beleza,App,495787
2024-08,Eletrônicos,Site,703093
2024-08,Eletrônicos,App,450660
2024-08,Roupas,Site,628548
2024-08,Roupas,App,554942
2024-08,Casa,Site,236283
2024-08,Casa,App,499934
2024-08,Beleza,Site,649715
2024-08,Beleza,App,795650
2024-09,Eletrônicos,Site,574719
2024-09,Eletrônicos,App,617283
2024-09,Roupas,Site,560475
2024-09,Roupas,App,373523
2024-09,Casa,Site,639854
2024-09,Casa,App,370542
2024-09,Beleza,Site,513886
2024-09,Beleza,App,739787
2024-10,Eletrônicos,Site,536370
2024-10,Eletrônicos,App,311760
2024-10,Roupas,Site,215133
2024-10,Roupas,App,733566
2024-10,Casa,Site,510743
2024-10,Casa,App,748319
2024-10,Beleza,Site,449542
2024-10,Beleza,App,795783
2024-11,Eletrônicos,Site,714674
2024-11,Eletrônicos,App,732473
2024-11,Roupas,Site,456000
2024-11,Roupas,App,758953
2024-11,Casa,Site,393738
2024-11,Casa,App,727861
2024-11,Beleza,Site,319276
2024-11,Beleza,App,483759
2024-12,Eletrônicos,Site,522917
2024-12,Eletrônicos,App,774687
2024-12,Roupas,Site,282167
2024-12,Roupas,App,234615
2024-12,Casa,Site,764438
2024-12,Casa,App,610663
2024-12,Beleza,Site,503930
2024-12,Beleza,App,743941
