id_produto,sku,nome_produto,categoria,marca,preco_lista,custo_unitario,peso_kg,ativo
1,SKU-1409,Adipisci,Roupas,Apple,2568.52,1057.22,11.07,True
2,SKU-1520,Facilis,Eletrônicos,Samsung,2374.26,971.83,7.63,True
3,SKU-9928,Aut,Casa,Apple,2258.14,1184.63,4.25,True
4,SKU-3615,Unde,Casa,LG,3042.47,1335.45,3.31,True
5,SKU-7224,Quam,Eletrônicos,LG,435.77,315.39,9.1,True
6,SKU-9785,Voluptatibus,Eletrônicos,Nike,2927.04,993.44,4.47,True
7,SKU-2139,Molestias,Eletrônicos,Genérica,2322.09,961.23,4.41,True
8,SKU-2654,Expedita,Casa,LG,3425.61,1804.29,12.53,True
9,SKU-4432,Dolor,Roupas,Genérica,1499.62,1152.2,9.76,True
10,SKU-5010,Deleniti,eletronicos,Nike,2150.54,1053.18,14.84,True
11,SKU-1916,Expedita,eletronicos,Samsung,2747.92,1930.48,6.08,True
12,SKU-6155,Laboriosam,eletronicos,Genérica,867.6,476.85,13.28,False
13,SKU-3287,Ab,eletronicos,Genérica,597.2,346.78,4.01,False
14,SKU-7543,Blanditiis,Roupas,Apple,3594.36,2870.68,2.16,False
15,SKU-1771,Libero,Eletrônicos,Apple,390.91,239.91,11.9,False
16,SKU-7304,Doloremque,Casa,Adidas,2397.74,1913.55,7.98,True
17,SKU-2876,Sit,Beleza,LG,2730.73,1868.63,5.17,True
18,SKU-8433,Totam,Eletrônicos,Genérica,1756.02,1295.81,4.02,True
19,SKU-2743,Aut,Roupas,Genérica,2045.5,1132.86,3.06,True
20,SKU-9837,Velit,Beleza,Samsung,3057.17,1832.69,7.38,True
21,SKU-6038,Consequuntur,eletronicos,Samsung,3718.52,1563.4,8.55,True
22,SKU-8962,Quas,Eletrônicos,Adidas,370.04,252.71,2.01,False
23,SKU-3705,Accusantium,Roupas,Adidas,3788.99,2789.52,6.4,True
24,SKU-4295,Ex,Roupas,Nike,3717.79,2965.21,9.78,False
25,SKU-8397,Molestiae,Eletrônicos,Apple,3601.47,1485.06,5.14,True
26,SKU-1117,Eius,Eletrônicos,Genérica,2366.11,1456.46,3.51,True
27,SKU-2160,Sequi,Beleza,Apple,3442.75,1512.19,7.33,True
28,SKU-8744,Ipsum,eletronicos,Nike,2901.71,2042.07,2.94,True
29,SKU-6804,Vero,Casa,Nike,2646.16,1411.76,10.96,True
30,SKU-6559,Fugiat,Eletrônicos,Apple,270.63,107.11,8.09,True
31,SKU-5563,Voluptates,Casa,Apple,1704.87,1256.9,1.22,True
32,SKU-9856,Non,Eletrônicos,Samsung,230.84,176.17,12.75,True
33,SKU-8886,Autem,eletronicos,Nike,1643.46,1234.61,2.55,True
34,SKU-5345,Magni,Casa,LG,3941.68,2016.18,14.36,False
35,SKU-5861,Enim,eletronicos,Samsung,644.54,380.02,8.18,True
36,SKU-8811,Cumque,Beleza,Adidas,256.95,97.31,14.42,True
37,SKU-2122,Earum,Beleza,Samsung,3409.83,2174.13,3.6,True
38,SKU-5033,Officia,Beleza,Adidas,3768.14,1205.32,1.32,True
39,SKU-4346,In,Roupas,Apple,3740.78,1619.04,2.05,True
40,SKU-2188,Fuga,Eletrônicos,Nike,1845.18,1126.63,8.49,True
41,SKU-4492,Ab,Beleza,LG,320.85,117.5,5.3,True
42,SKU-7054,Occaecati,Roupas,Apple,3520.7,1827.57,8.19,True
43,SKU-9666,Optio,Eletrônicos,Genérica,2458.36,1741.88,4.56,True
44,SKU-3200,Est,Roupas,Samsung,3757.55,2798.84,11.16,True
45,SKU-4450,Neque,Roupas,Apple,1111.22,715.35,12.81,False
46,SKU-1832,Quod,Eletrônicos,Genérica,1026.95,525.58,4.22,True
47,SKU-3143,Debitis,Roupas,Apple,1354.22,908.16,8.32,False
48,SKU-2832,Voluptate,Eletrônicos,Genérica,2256.8,1697.03,8.23,True
49,SKU-3426,Dolor,Casa,Apple,2342.56,751.76,5.53,True
50,SKU-4441,Voluptatum,eletronicos,Genérica,3598.73,1264.58,11.72,False
51,SKU-3532,Molestiae,eletronicos,Apple,3896.13,3070.55,12.18,False
52,SKU-6442,Iure,Casa,Genérica,128.4,93.99,12.18,True
53,SKU-2771,Culpa,Casa,Samsung,662.02,482.81,3.41,False
54,SKU-4728,Porro,eletronicos,Samsung,1418.14,893.45,6.04,True
55,SKU-5573,Iste,Roupas,Genérica,3461.48,1920.09,10.22,True
56,SKU-2889,Porro,Roupas,Apple,3758.77,2218.78,14.75,True
57,SKU-8119,Nostrum,Roupas,Genérica,460.36,319.13,6.6,True
58,SKU-4114,Culpa,Roupas,Samsung,1559.23,1020.35,0.13,True
59,SKU-2146,Consectetur,Roupas,Adidas,1475.96,674.45,12.74,True
60,SKU-7691,Eius,Roupas,Nike,2043.28,1325.28,8.36,True
61,SKU-7211,Placeat,eletronicos,Adidas,1699.17,993.26,6.15,True
62,SKU-4443,Expedita,Casa,Adidas,1236.38,745.95,4.9,False
63,SKU-4501,Natus,Beleza,Nike,1785.37,1244.17,14.4,True
64,SKU-5649,Neque,Beleza,Genérica,2645.64,1630.96,5.09,True
65,SKU-4680,Libero,eletronicos,Apple,2701.0,843.29,3.75,False
